SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
36370,39826,2021-07-29T06:03:09,2033982430,01/07/2021 10:12,Meter,38491,39302,811,524,6.18,3.028201572,TRUE
36371,115258,2021-07-29T06:03:09,1765547746,01/07/2021 10:12,Meter,111264,113686,2422,1572,16.775,3.346817117,TRUE
36372,39968,2021-07-29T06:03:09,154937172,01/07/2021 10:12,Meter,38655,39453,798,515,5.2974,3.472053676,TRUE
36373,43042,2021-07-29T06:03:10,154944582,01/07/2021 10:12,Meter,41725,42518,793,524,5.2974,3.532730342,TRUE
55883,56643,2021-07-29T06:03:10,1497427987,01/07/2021 10:12,Meter,54158,55640,1482,1003,9.396,3.812412577,TRUE
27470,45997,2021-07-29T06:03:10,1765556144,01/07/2021 10:12,Meter,44338,45328,990,669,6.769,3.529746956,TRUE
36427,90834,2021-07-29T06:03:10,960246411,01/07/2021 10:12,Meter,87755,89554,1799,1280,10.773,4.243412765,TRUE
27457,62887,2021-07-29T06:03:10,1228741610,01/07/2021 10:12,Meter,60747,62060,1313,827,8.3835,3.523076792,TRUE
26500,56590,2021-07-29T06:03:11,691815926,01/07/2021 10:12,Meter,55121,55882,761,708,8.2404,3.06850569,TRUE
35851,14814,2021-07-29T06:03:11,960252833,01/07/2021 10:12,Meter,14401,14650,249,164,2.475,2.366522367,TRUE
23276,69063,2021-07-29T06:03:11,1228684800,01/07/2021 10:12,Meter,67208,68315,1107,748,9.576,2.789712376,TRUE
36329,61457,2021-07-29T06:03:12,1765548240,01/07/2021 10:12,Meter,59546,60719,1173,738,8.1,3.253968254,TRUE
36342,57488,2021-07-29T06:03:12,960253821,01/07/2021 10:12,Meter,55789,56818,1029,670,7.3575,3.252269307,TRUE
26562,51166,2021-07-29T06:03:12,691812221,01/07/2021 10:12,Meter,49644,50531,887,635,5.67,3.999748047,TRUE
36357,64225,2021-07-29T06:03:12,423383959,01/07/2021 10:12,Meter,62167,63383,1216,842,8.064,3.729095805,TRUE
26151,43775,2021-07-29T06:03:13,691808516,01/07/2021 10:12,Meter,42416,43232,816,543,5.292,3.664561063,TRUE
27454,50664,2021-07-29T06:03:13,1228683565,01/07/2021 10:12,Meter,48894,50013,1119,651,8.064,2.883184524,TRUE
35684,12522,2021-07-29T06:03:13,2033985888,01/07/2021 10:12,Meter,11068,11928,860,594,5.3865,3.938417472,TRUE
21171,31426,2021-07-29T06:03:13,2033994533,01/07/2021 10:12,Meter,29995,30829,834,597,4.59,4.64519141,TRUE
25473,87590,2021-07-29T06:03:14,2033986135,01/07/2021 10:12,Meter,84983,86507,1524,1083,9.45,4.092970522,TRUE
26581,85080,2021-07-29T06:03:14,423370127,01/07/2021 10:12,Meter,82122,83905,1783,1175,13.266,3.163296074,TRUE
24369,66539,2021-07-29T06:03:14,960249869,01/07/2021 10:12,Meter,64454,65703,1249,836,8.159,3.659412043,TRUE
36351,88195,2021-07-29T06:03:14,960243694,01/07/2021 10:12,Meter,85207,87019,1812,1176,12.618,3.328578222,TRUE
24693,67173,2021-07-29T06:03:15,691807775,01/07/2021 10:12,Meter,65220,66372,1152,801,7.452,3.838854382,TRUE
36350,79350,2021-07-29T06:03:15,1497124918,01/07/2021 10:12,Meter,76753,78295,1542,1055,10.08,3.737953515,TRUE
